RV_YM|DW_MSICK_CD|SEX_TP_CD|CL_CD|SIDO|JID_cnt|HID_cnt|YID_cnt|AMT_sum|TOT_USE_QTY_OR_EXEC_FQ_sum
202005|AA|1|11|31|2|2|2|5686|4
202005|AE119|2|31|31|1|1|1|71610|30
202005|AF|1|11|21|2|2|2|282960|180
202005|AF|1|11|31|1|1|1|71610|30
202005|AF|1|11|33|1|1|1|76380|60
202005|AF|1|11|38|1|1|1|170820|90
202005|AF|1|11|39|1|1|1|231686|182
202005|AF|1|21|11|1|1|1|76380|60
202005|AF|1|21|22|8|8|8|329138|219
202005|AF|1|21|23|2|2|2|102480|56
202005|AF|1|21|31|3|3|3|257602|178
202005|AF|1|21|36|1|1|1|71610|30
202005|AF|1|31|31|4|4|4|260330|140
202005|AF|1|31|34|16|16|16|506451|362
202005|AF|2|11|21|4|4|4|376070|235
202005|AF|2|11|31|1|1|1|53144|28
202005|AF|2|11|38|8|8|8|1213923|636
202005|AF|2|11|39|4|4|4|254600|200
202005|AF|2|21|22|22|22|22|995730|650
202005|AF|2|21|31|1|1|1|89824|28
202005|AF|2|21|36|2|2|2|71608|44
202005|AF|2|31|31|11|11|11|557164|298
202005|AF|2|31|34|46|46|46|2006280|1320
202005|AG|1|11|38|1|1|1|113880|60
202005|AG|1|31|34|5|5|5|247200|150
202005|AG|2|31|34|13|13|13|609660|420
202005|AG20|1|11|21|1|1|1|72600|60
202005|AG20|2|11|31|1|1|1|81240|60
202005|AG20|2|31|31|1|1|1|18555|15
202005|AG309|1|11|21|4|4|4|339220|245
202005|AG309|2|11|21|3|3|3|282370|155
202005|AG459|1|11|21|1|1|1|66550|55
202005|AG467|2|21|38|1|1|1|81270|45
202005|AG632|2|11|38|1|1|1|113880|60
202005|AI|1|31|34|2|2|2|70015|55
202005|AI|2|21|38|1|1|1|37110|30
202005|AI|2|31|34|3|3|3|114225|75
202005|AI109|1|31|34|2|2|2|113880|60
202005|AI109|2|21|38|1|1|1|43295|35
202005|AI109|2|31|37|2|2|2|160050|120
202005|AI110|2|31|36|1|1|1|38190|30
202005|AI255|1|11|21|1|1|1|13540|10
202005|AI619|2|11|38|1|1|1|170820|90
202005|AI633|1|11|21|1|1|1|58020|30
202005|AI633|2|11|21|2|2|2|266000|160
202005|AI638|2|11|22|1|1|1|42560|14
202005|AI639|1|11|21|2|2|2|188690|135
202005|AI639|1|11|38|1|1|1|119574|63
202005|AI639|2|11|21|2|2|2|179880|120
202005|AI639|2|11|38|1|1|1|71288|56
202005|AI639|2|11|39|1|1|1|438802|182
202005|AI639|2|21|32|1|1|1|40620|30
202005|AI693|2|11|21|1|1|1|116040|60
202005|AJ|1|21|36|1|1|1|76380|60
202005|AK30|1|31|34|1|1|1|56940|30
202005|AK30|2|31|34|5|5|5|210045|165
202005|AK565|1|11|25|1|1|1|5132|4
202005|AK590|1|31|34|1|1|1|38190|30
202005|AK800|2|11|11|5|5|5|14113|11
202005|AM199|1|31|34|2|2|2|28006|22
202005|AM199|2|31|34|4|4|4|110176|62
202005|AM808|2|11|38|1|1|1|1000|2
202005|AM866|2|11|11|1|1|1|11340|5
202005|AR111|1|31|34|1|1|1|56940|30
202005|AR111|2|31|34|5|5|5|248235|195
202005|AR413|1|11|38|1|1|1|113880|60
202005|AR42|1|31|34|1|1|1|38190|30
202005|AR42|2|31|34|1|1|1|28470|15
202005|AS060|2|11|36|1|1|1|38190|30
202005|AS621|2|21|21|1|1|1|4062|3
202006|AA|1|11|24|1|1|1|740|5
202006|AA|1|11|33|1|1|1|9478|7
202006|AA|1|28|35|2|2|2|12458|8
202006|AA|2|11|11|1|1|1|18578|14
202006|AA|2|11|21|1|1|1|26257|11
202006|AA|2|11|36|2|2|2|33098|26
202006|AA|2|11|37|1|1|1|76380|60
202006|AA|2|28|31|1|1|1|3120|4
202006|AA|2|28|37|1|1|1|5416|4
202006|AA099|2|11|31|3|3|3|15039|9
202006|AA099|2|11|33|1|1|1|7422|6
202006|AA86|2|11|35|1|1|1|202524|84
202006|AB|1|11|25|1|1|1|94|1
202006|AB022|1|11|21|1|1|1|100594|53
202006|AB86|2|31|31|1|1|1|54180|30
202006|AC162|2|31|36|2|2|2|60326|28
202006|AC163|1|11|23|1|1|1|888|6
202006|AC163|1|11|26|2|2|2|4774|2
202006|AC169|1|21|33|1|1|1|26733|21
202006|AC169|1|31|34|1|1|1|114570|90
202006|AC169|2|11|11|1|1|1|15432|12
202006|AC184|2|31|35|1|1|1|53144|28
202006|AC189|2|11|11|2|2|2|30521|23
202006|AC189|2|28|37|2|2|2|58502|31
202006|AC20|2|28|37|2|2|2|65733|31
202006|AC220|1|11|11|1|1|1|5144|4
202006|AC220|1|11|35|1|1|1|2387|1
202006|AC220|2|28|23|1|1|1|41974|31
202006|AC221|1|11|21|1|1|1|940|10
202006|AC250|2|11|11|1|1|1|13608|6
202006|AC259|2|11|11|4|4|4|115668|51
202006|AC259|2|11|24|2|2|2|38347|31
202006|AC343|2|11|31|2|2|2|17962|14
202006|AC349|1|11|21|1|1|1|2162|23
202006|AC349|1|31|37|2|2|2|47101|37
202006|AC443|2|31|36|1|1|1|56940|30
202006|AC449|2|11|31|1|1|1|27090|15
202006|AC449|2|31|31|3|3|3|49480|40
202006|AC499|2|11|11|1|1|1|40572|18
202006|AC509|2|11|11|1|1|1|1106|1
202006|AC61|1|11|31|1|1|1|38190|30
202006|AC61|1|21|34|1|1|1|143220|60
202006|AC61|1|28|21|1|1|1|44981|31
202006|AC61|1|28|31|1|1|1|37960|20
202006|AC649|2|11|11|2|2|2|6762|3
202006|AC679|1|28|37|1|1|1|73997|31
202006|AC719|2|28|37|1|1|1|6770|5
202006|AC73|1|31|34|1|1|1|56940|30
202006|AC795|2|11|22|2|2|2|29302|13
202006|AC809|2|31|37|4|4|4|38190|30
202006|AC833|2|28|35|1|1|1|29388|31
202006|AC900|2|11|25|1|1|1|18240|6
202006|AD|1|21|31|1|1|1|112280|35
202006|AD|2|11|34|1|1|1|21699|9
202006|AD126|1|11|21|1|1|1|4736|32
202006|AD131|1|11|21|1|1|1|3102|33
202006|AD131|1|11|24|2|2|2|470|5
202006|AD320|1|21|35|1|1|1|54152|28
202006|AD329|2|11|11|1|1|1|243720|180
202006|AD329|2|21|38|1|1|1|74220|60
202006|AD330|1|11|31|1|1|1|143220|60
202006|AD330|1|21|33|1|1|1|35644|28
202006|AD330|2|11|31|1|1|1|243720|180
202006|AD331|2|11|31|1|1|1|37110|30
202006|AD333|2|11|31|1|1|1|286440|120
202006|AD334|1|28|31|1|1|1|49104|31
202006|AD352|1|11|21|1|1|1|161126|119
202006|AD352|2|11|31|1|1|1|71610|30
202006|AD420|1|11|11|1|1|1|114570|90
202006|AD431|2|11|21|1|1|1|308712|228
202006|AD432|1|28|31|2|2|2|112230|60
202006|AD481|1|11|21|1|1|1|592|4
202006|AD500|2|11|37|1|1|1|72330|30
202006|AD508|2|21|38|1|1|1|8470|7
202006|AD509|1|11|11|1|1|1|3632|4
202006|AD509|1|11|37|1|1|1|72330|30
202006|AD509|1|31|31|2|2|2|35644|28
202006|AE|1|28|22|1|1|1|72416|31
202006|AE|1|31|31|1|1|1|58020|30
202006|AE039|2|11|37|1|1|1|72330|30
202006|AE039|2|31|24|1|1|1|35644|28
202006|AE059|1|31|21|1|1|1|56940|30
202006|AE059|2|11|26|15|15|15|24780|20
202006|AE069|2|72|34|1|1|1|113880|60
202006|AE104|1|31|23|1|1|1|37912|28
202006|AE112|1|11|23|1|1|1|3552|24
202006|AE112|1|11|38|1|1|1|143220|60
202006|AE112|2|11|31|1|1|1|45600|15
202006|AE112|2|28|35|1|1|1|29388|31
202006|AE112|2|28|37|1|1|1|39463|31
202006|AE114|1|11|21|1|1|1|1410|15
202006|AE114|1|31|31|1|1|1|71610|30
202006|AE114|2|11|31|1|1|1|39463|31
202006|AE114|2|21|36|2|2|2|95130|60
202006|AE114|2|31|31|1|1|1|38190|30
202006|AE114|2|31|35|5|5|5|171074|117
202006|AE114|2|31|36|1|1|1|170820|90
202006|AE114|2|31|37|1|1|1|38190|30
202006|AE114|2|31|38|1|1|1|38190|30
202006|AE115|1|11|21|2|2|2|4588|31
202006|AE115|1|11|24|1|1|1|564|6
202006|AE115|2|11|21|1|1|1|3552|24
202006|AE115|2|31|22|1|1|1|38190|30
202006|AE115|2|31|31|1|1|1|38190|30
202006|AE115|2|31|35|2|2|2|142996|88
202006|AE115|2|31|37|1|1|1|38190|30
202006|AE116|1|11|31|1|1|1|80199|63
202006|AE116|2|11|11|1|1|1|229140|180
202006|AE116|2|31|31|1|1|1|66836|28
202006|AE117|2|21|31|1|1|1|76380|60
202006|AE118|1|21|23|1|1|1|33880|28
202006|AE118|1|21|37|2|2|2|138180|90
202006|AE118|1|31|37|1|1|1|41974|31
202006|AE118|1|31|38|1|1|1|74220|60
202006|AE118|2|11|37|1|1|1|72330|30
202006|AE118|2|28|36|1|1|1|113880|60
202006|AE118|2|31|37|1|1|1|41974|31
202006|AE118|2|31|38|1|1|1|40620|30
202006|AE119|1|11|23|1|1|1|2914|31
202006|AE119|1|21|11|1|1|1|71610|30
202006|AE119|1|21|36|1|1|1|76380|60
202006|AE119|1|21|38|1|1|1|54160|40
202006|AE119|1|31|24|1|1|1|56940|30
202006|AE119|1|31|31|5|5|5|325096|204
202006|AE119|2|11|11|1|1|1|214830|90
202006|AE119|2|21|11|1|1|1|144660|60
202006|AE119|2|21|23|1|1|1|66836|28
202006|AE119|2|21|31|1|1|1|96240|30
202006|AE119|2|21|33|1|1|1|40620|30
202006|AE119|2|21|35|1|1|1|40620|30
202006|AE119|2|21|37|2|2|2|121860|90
202006|AE119|2|28|35|1|1|1|53144|28
202006|AE119|2|31|11|2|2|2|131160|90
202006|AE119|2|31|23|2|2|2|54160|40
202006|AE119|2|31|25|1|1|1|75824|56
202006|AE119|2|31|31|2|2|2|144570|60
202006|AE119|2|31|34|2|2|2|109800|60
202006|AE134|1|28|31|1|1|1|13286|7
202006|AE139|2|21|11|1|1|1|40620|30
202006|AE144|2|31|31|1|1|1|66836|28
202006|AE148|1|11|37|1|1|1|76380|60
202006|AE148|2|31|34|1|1|1|38190|30
202006|AE149|1|28|33|1|1|1|53144|28
202006|AE149|2|11|37|2|2|2|92584|58
202006|AE507|2|31|31|1|1|1|35040|15
202006|AE512|2|11|26|1|1|1|121860|90
202006|AE780|2|11|37|1|1|1|76380|60
202006|AE780|2|31|31|1|1|1|37912|28
202006|AE784|1|31|35|1|1|1|37912|28
202006|AE785|1|21|21|1|1|1|40620|30
202006|AE785|1|31|11|1|1|1|71610|30
202006|AE785|1|31|31|2|2|2|96240|30
202006|AE785|2|11|38|1|1|1|81240|60
202006|AE785|2|21|21|1|1|1|40620|30
202006|AE785|2|21|33|1|1|1|76380|60
202006|AE785|2|21|36|1|1|1|38190|30
202006|AE785|2|31|31|2|2|2|109800|60
202006|AE785|2|31|36|1|1|1|56940|30
202006|AE785|2|31|37|1|1|1|38190|30
202006|AE871|2|28|31|1|1|1|126224|56
202006|AE876|1|11|36|3|3|3|63650|50
202006|AE878|1|21|37|2|2|2|42350|35
202006|AE878|2|31|22|1|1|1|72330|30
202006|AE890|2|21|33|1|1|1|35644|28
202006|AF|1|11|11|63|63|63|8670789|4636
202006|AF|1|11|21|43|43|43|4546198|2546
202006|AF|1|11|22|9|9|9|507393|387
202006|AF|1|11|23|3|3|3|451724|238
202006|AF|1|11|24|7|7|7|785695|365
202006|AF|1|11|25|49|49|49|6011466|2645
202006|AF|1|11|26|13|13|13|1003517|748
202006|AF|1|11|31|117|117|117|17125102|8517
202006|AF|1|11|32|6|6|6|391347|217
202006|AF|1|11|33|51|51|51|4785880|2844
202006|AF|1|11|34|11|11|11|1040720|588
202006|AF|1|11|35|4|4|4|458430|273
202006|AF|1|11|36|42|42|42|2792608|1682
202006|AF|1|11|37|30|30|30|2350190|1256
202006|AF|1|11|38|12|12|12|1859104|943
202006|AF|1|11|39|10|10|10|1089358|736
202006|AF|1|21|11|14|14|14|1154928|804
202006|AF|1|21|21|10|10|10|517233|345
202006|AF|1|21|22|31|31|31|1388794|886
202006|AF|1|21|23|41|41|41|2040917|1145
202006|AF|1|21|26|1|1|1|38347|31
202006|AF|1|21|31|18|18|18|1233650|652
202006|AF|1|21|32|1|1|1|40620|30
202006|AF|1|21|33|2|2|2|73834|58
202006|AF|1|21|35|20|20|20|770555|451
202006|AF|1|21|36|21|21|21|1361347|809
202006|AF|1|21|37|20|20|20|1462610|772
202006|AF|1|21|38|7|7|7|322200|252
202006|AF|1|28|11|2|2|2|88207|67
202006|AF|1|28|21|1|1|1|53144|28
202006|AF|1|28|22|5|5|5|150902|87
202006|AF|1|28|23|6|6|6|205864|126
202006|AF|1|28|25|2|2|2|100695|49
202006|AF|1|28|31|10|10|10|795188|459
202006|AF|1|28|33|1|1|1|99448|31
202006|AF|1|28|34|4|4|4|224561|147
202006|AF|1|28|35|40|40|40|1746350|1203
202006|AF|1|28|36|1|1|1|58838|31
202006|AF|1|28|37|42|42|42|1901973|1172
202006|AF|1|28|38|2|2|2|102480|56
202006|AF|1|31|11|18|18|18|1118078|590
202006|AF|1|31|21|11|11|11|709964|444
202006|AF|1|31|22|8|8|8|404512|268
202006|AF|1|31|23|94|94|94|5248929|3294
202006|AF|1|31|24|16|16|16|1138042|552
202006|AF|1|31|25|26|26|26|813104|557
202006|AF|1|31|26|5|5|5|280124|198
202006|AF|1|31|31|102|102|102|5406326|3078
202006|AF|1|31|32|1|1|1|96240|30
202006|AF|1|31|33|6|6|6|241098|178
202006|AF|1|31|34|100|100|100|4222348|2955
202006|AF|1|31|35|55|55|55|1999463|1363
202006|AF|1|31|36|24|24|24|1124841|699
202006|AF|1|31|37|86|86|86|4005110|2600
202006|AF|1|31|38|13|13|13|766105|407
202006|AF|1|31|39|2|2|2|141788|88
202006|AF|1|31|41|4|4|4|310390|170
202006|AF|1|71|32|4|4|4|560728|252
202006|AF|1|71|37|5|5|5|400650|300
202006|AF|1|92|11|1|1|1|78926|62
202006|AF|2|11|11|135|135|135|16972792|9081
202006|AF|2|11|21|110|110|110|11023193|6634
202006|AF|2|11|22|20|20|20|1775879|1151
202006|AF|2|11|23|7|7|7|912554|573
202006|AF|2|11|24|31|31|31|4012652|1926
202006|AF|2|11|25|104|104|104|13433121|5775
202006|AF|2|11|26|20|20|20|2103941|1210
202006|AF|2|11|31|236|236|236|29796386|16061
202006|AF|2|11|32|4|4|4|181228|182
202006|AF|2|11|33|86|86|86|8515031|5430
202006|AF|2|11|34|18|18|18|1682845|905
202006|AF|2|11|35|13|13|13|930844|599
202006|AF|2|11|36|107|107|107|8246284|4657
202006|AF|2|11|37|73|73|73|6763098|3810
202006|AF|2|11|38|42|42|42|6339889|3212
202006|AF|2|11|39|39|39|39|4946742|2895
202006|AF|2|21|11|27|27|27|2413382|1546
202006|AF|2|21|21|30|30|30|1470038|908
202006|AF|2|21|22|42|42|42|1839375|1235
202006|AF|2|21|23|72|72|72|3591537|2215
202006|AF|2|21|26|6|6|6|455485|235
202006|AF|2|21|31|41|41|41|2407402|1442
202006|AF|2|21|32|1|1|1|162480|120
202006|AF|2|21|33|15|15|15|615442|454
202006|AF|2|21|34|5|5|5|409324|282
202006|AF|2|21|35|36|36|36|1717546|1002
202006|AF|2|21|36|47|47|47|2482156|1587
202006|AF|2|21|37|46|46|46|3057024|1538
