RV_YM|DW_MSICK_CD|SEX_TP_CD|CL_CD|SIDO|JID_cnt|HID_cnt|YID_cnt|AMT_sum|TOT_USE_QTY_OR_EXEC_FQ_sum
201905|AA|1|11|11|1|1|1|6470|5
201905|AC168|1|11|21|1|1|1|57246|42
201905|AC187|1|11|21|1|1|1|18|3
201905|AC19|1|11|31|1|1|1|38250|30
201905|AC73|1|31|31|1|1|1|68968|37
201905|AC920|2|11|35|1|1|1|2550|10
201905|AE871|2|11|35|1|1|1|10904|8
201905|AF|1|11|21|2|2|2|218940|120
201905|AF|1|11|31|3|3|3|413370|180
201905|AF|1|11|33|5|5|5|334755|233
201905|AF|1|11|34|2|2|2|190680|120
201905|AF|1|11|37|3|3|3|317184|168
201905|AF|1|11|38|5|5|5|629130|390
201905|AF|1|11|39|4|4|4|537220|296
201905|AF|1|21|22|9|9|9|217082|251
201905|AF|1|21|23|2|2|2|128555|70
201905|AF|1|21|31|2|2|2|79054|58
201905|AF|1|31|34|20|20|20|496642|358
201905|AF|2|11|21|3|3|3|357135|205
201905|AF|2|11|31|6|6|6|375360|248
201905|AF|2|11|33|8|8|8|554055|405
201905|AF|2|11|34|1|1|1|38250|30
201905|AF|2|11|37|3|3|3|344924|114
201905|AF|2|11|38|19|19|19|2322159|1284
201905|AF|2|11|39|5|5|5|396697|287
201905|AF|2|21|11|1|1|1|76328|56
201905|AF|2|21|22|18|18|18|569718|560
201905|AF|2|21|33|1|1|1|40890|30
201905|AF|2|21|36|2|2|2|52654|28
201905|AF|2|21|38|1|1|1|34048|28
201905|AF|2|31|22|1|1|1|37830|30
201905|AF|2|31|31|1|1|1|76500|60
201905|AF|2|31|34|82|82|82|2725482|1882
201905|AF|2|31|37|1|1|1|38250|30
201905|AG|1|11|38|1|1|1|57090|30
201905|AG|1|31|34|5|5|5|198482|134
201905|AG|2|11|39|1|1|1|83930|35
201905|AG|2|31|34|14|14|14|520125|371
201905|AG20|1|11|21|2|2|2|145920|120
201905|AG20|1|11|39|1|1|1|35700|28
201905|AG20|2|11|21|1|1|1|116520|60
201905|AG20|2|11|39|1|1|1|199815|105
201905|AG219|2|11|21|1|1|1|72960|60
201905|AG309|1|11|21|5|5|5|487584|284
201905|AG309|2|11|21|10|10|10|1272340|640
201905|AG439|2|11|31|5|5|5|22698|18
201905|AG448|1|11|34|1|1|1|38250|30
201905|AG459|1|11|21|1|1|1|66880|55
201905|AG459|2|11|21|1|1|1|109440|90
201905|AH810|2|31|34|1|1|1|38250|30
201905|AH814|2|31|34|2|2|2|95340|60
201905|AI|1|11|38|1|1|1|151074|63
201905|AI|1|31|34|1|1|1|57090|30
201905|AI|2|11|11|2|2|2|10264|8
201905|AI|2|11|21|1|1|1|116520|60
201905|AI|2|11|31|1|1|1|215820|90
201905|AI|2|11|38|2|2|2|171780|84
201905|AI|2|31|34|1|1|1|38250|30
201905|AI109|2|31|31|1|1|1|72900|30
201905|AI109|2|31|34|1|1|1|38250|30
201905|AI110|2|31|36|1|1|1|38250|30
201905|AI209|2|11|37|1|1|1|75660|60
201905|AI259|1|11|37|1|1|1|193800|60
201905|AI633|2|11|21|1|1|1|174780|90
201905|AI639|1|11|21|4|4|4|248338|151
201905|AI639|2|11|21|1|1|1|48640|40
201905|AI639|2|11|38|1|1|1|114180|60
201905|AI639|2|11|39|2|2|2|124950|98
201905|AI652|2|11|38|1|1|1|114180|60
201905|AI693|2|11|21|1|1|1|72960|60
201905|AK299|2|31|34|1|1|1|57090|30
201905|AK30|1|31|34|3|3|3|84645|59
201905|AK30|2|31|34|4|4|4|140250|110
201905|AM199|1|31|34|1|1|1|38250|30
201905|AM199|2|31|34|4|4|4|180975|105
201905|AM232|2|11|34|1|1|1|53284|28
201905|AM489|2|31|25|1|1|1|38250|30
201905|AN10|2|11|11|1|1|1|5100|4
201905|AN185|2|11|21|1|1|1|10878|14
201905|AN394|2|31|34|1|1|1|57090|30
201905|AR111|1|31|34|2|2|2|133590|90
201905|AR111|2|31|34|3|3|3|95625|75
201905|AR413|2|11|38|1|1|1|76500|60
201905|AR42|1|11|21|1|1|1|109440|90
201905|AR42|2|31|34|2|2|2|17850|14
201905|AS063|2|11|31|1|1|1|248066|182
201906|AA|1|11|21|2|2|2|28944|39
201906|AA|1|11|31|1|1|1|9704|8
201906|AA|2|11|31|1|1|1|36975|29
201906|AA090|2|31|34|1|1|1|40890|30
201906|AA099|2|11|11|1|1|1|5100|4
201906|AA099|2|11|21|1|1|1|3379|31
201906|AA46|2|11|21|2|2|2|72|12
201906|AB|2|31|22|1|1|1|81780|60
201906|AB028|2|28|38|1|1|1|39525|31
201906|AB029|1|28|37|1|1|1|57090|30
201906|AC160|2|11|21|1|1|1|44625|35
201906|AC169|1|11|11|1|1|1|3234|11
201906|AC169|1|11|21|1|1|1|54520|40
201906|AC169|1|31|24|1|1|1|71940|30
201906|AC169|1|31|34|1|1|1|19125|15
201906|AC169|2|31|37|1|1|1|38250|30
201906|AC182|1|11|11|1|1|1|9352|7
201906|AC186|2|11|23|5|5|5|12843|9
201906|AC187|2|11|31|1|1|1|19125|15
201906|AC189|2|11|21|1|1|1|4089|3
201906|AC19|1|11|31|1|1|1|38250|30
201906|AC20|2|28|38|1|1|1|57784|31
201906|AC220|1|11|11|5|5|5|19380|6
201906|AC220|2|11|22|2|2|2|7536|4
201906|AC341|1|11|11|3|3|3|33440|11
201906|AC342|1|11|21|4|4|4|6361|43
201906|AC342|2|31|37|1|1|1|37830|30
201906|AC443|2|31|36|1|1|1|57090|30
201906|AC449|2|28|38|1|1|1|57784|31
201906|AC449|2|31|31|2|2|2|58006|46
201906|AC61|1|21|36|1|1|1|180880|56
201906|AC61|1|28|31|1|1|1|11184|6
201906|AC61|1|28|37|1|1|1|49600|31
201906|AC61|1|28|38|1|1|1|42253|31
201906|AC649|1|11|11|1|1|1|3063|3
201906|AC679|1|11|21|1|1|1|2839|17
201906|AC719|1|11|31|1|1|1|81780|60
201906|AC780|2|28|35|1|1|1|39525|31
201906|AC795|2|11|11|2|2|2|9112|4
201906|AC833|1|11|21|1|1|1|52756|22
201906|AC833|2|11|11|1|1|1|16336|16
201906|AD|2|11|31|1|1|1|35700|28
201906|AD|2|11|35|1|1|1|9520|10
201906|AD|2|11|37|1|1|1|58260|30
201906|AD127|2|11|25|1|1|1|167|1
201906|AD134|1|11|21|1|1|1|3488|32
201906|AD180|1|11|21|1|1|1|268576|112
201906|AD180|2|11|25|1|1|1|218218|91
201906|AD320|2|11|31|1|1|1|215820|90
201906|AD329|1|11|33|1|1|1|54520|40
201906|AD329|2|11|31|1|1|1|81780|60
201906|AD329|2|21|38|1|1|1|75660|60
201906|AD330|1|21|33|1|1|1|35700|28
201906|AD330|2|11|21|1|1|1|47705|35
201906|AD331|1|11|26|1|1|1|293930|91
201906|AD332|1|31|37|2|2|2|17654|14
201906|AD333|2|11|31|1|1|1|287760|120
201906|AD376|2|11|22|1|1|1|30144|16
201906|AD431|2|11|21|1|1|1|234436|172
201906|AD474|2|11|21|1|1|1|16081|13
201906|AD508|2|11|21|1|1|1|447|1
201906|AD509|2|11|21|1|1|1|5832|12
201906|AD509|2|31|31|1|1|1|76500|60
201906|AE039|1|11|37|2|2|2|129990|60
201906|AE039|2|31|24|1|1|1|35700|28
201906|AE041|1|11|31|2|2|2|7650|6
201906|AE059|2|31|34|1|1|1|76500|60
201906|AE112|1|11|23|2|2|2|5344|32
201906|AE112|1|28|38|1|1|1|39525|31
201906|AE112|1|31|35|1|1|1|38250|30
201906|AE112|2|28|35|1|1|1|25730|31
201906|AE113|1|28|38|1|1|1|39525|31
201906|AE114|1|21|31|1|1|1|38250|30
201906|AE114|2|31|11|1|1|1|57090|30
201906|AE114|2|31|36|1|1|1|171270|90
201906|AE114|2|31|37|3|3|3|110968|88
201906|AE115|1|11|21|3|3|3|7303|67
201906|AE115|1|31|31|1|1|1|37830|30
201906|AE115|2|31|31|2|2|2|76500|60
201906|AE115|2|31|35|2|2|2|93750|60
201906|AE115|2|31|37|1|1|1|40890|30
201906|AE116|1|11|37|9|9|9|129644|68
201906|AE116|2|11|37|1|1|1|75660|60
201906|AE117|1|21|21|2|2|2|38164|28
201906|AE117|2|21|31|1|1|1|76500|60
201906|AE117|2|28|38|1|1|1|39525|31
201906|AE118|1|11|21|2|2|2|183798|144
201906|AE118|1|21|23|1|1|1|34048|28
201906|AE118|1|31|36|1|1|1|38250|30
201906|AE118|2|21|35|1|1|1|55920|30
201906|AE118|2|28|36|1|1|1|57090|30
201906|AE118|2|31|34|1|1|1|36480|30
201906|AE118|2|31|36|1|1|1|38250|30
201906|AE119|1|11|23|1|1|1|835|5
201906|AE119|1|11|37|1|1|1|145800|60
201906|AE119|1|21|31|1|1|1|81780|60
201906|AE119|1|21|37|1|1|1|65604|28
201906|AE119|1|28|35|1|1|1|25730|31
201906|AE119|1|31|22|2|2|2|180880|56
201906|AE119|1|31|24|1|1|1|57090|30
201906|AE119|1|31|31|2|2|2|98582|44
201906|AE119|1|31|35|1|1|1|58260|30
201906|AE119|2|11|37|2|2|2|184740|90
201906|AE119|2|21|23|2|2|2|88424|56
201906|AE119|2|21|33|1|1|1|35700|28
201906|AE119|2|21|36|2|2|2|114330|90
201906|AE119|2|21|37|1|1|1|81780|60
201906|AE119|2|28|37|2|2|2|76500|60
201906|AE119|2|31|11|1|1|1|38250|30
201906|AE119|2|31|23|4|4|4|128479|73
201906|AE119|2|31|25|1|1|1|38164|28
201906|AE119|2|31|31|2|2|2|143880|60
201906|AE119|2|31|34|2|2|2|76590|58
201906|AE119|2|31|36|1|1|1|57090|30
201906|AE119|2|71|23|1|1|1|40890|30
201906|AE144|1|11|37|1|1|1|55920|30
201906|AE144|2|31|23|1|1|1|36480|30
201906|AE145|1|28|35|2|2|2|38037|31
201906|AE148|1|11|31|1|1|1|4770|5
201906|AE148|2|11|31|2|2|2|79926|42
201906|AE148|2|28|38|1|1|1|58993|31
201906|AE148|2|31|34|2|2|2|153000|120
201906|AE149|1|11|11|1|1|1|25645|23
201906|AE149|1|11|37|1|1|1|57090|30
201906|AE149|2|11|37|3|3|3|256890|120
201906|AE149|2|28|31|1|1|1|12160|10
201906|AE149|2|28|37|1|1|1|49600|31
201906|AE149|2|28|38|1|1|1|57784|31
201906|AE210|2|11|33|1|1|1|15281|7
201906|AE46|2|31|31|1|1|1|38250|30
201906|AE512|1|21|23|1|1|1|71940|30
201906|AE780|1|11|21|1|1|1|17024|14
201906|AE780|2|21|36|1|1|1|38250|30
201906|AE780|2|31|31|1|1|1|38164|28
201906|AE781|2|28|37|1|1|1|38250|30
201906|AE782|1|31|31|1|1|1|57090|30
201906|AE782|2|31|22|2|2|2|193800|60
201906|AE782|2|31|31|1|1|1|81780|60
201906|AE785|1|11|33|1|1|1|335720|140
201906|AE785|1|21|36|1|1|1|57090|30
201906|AE785|1|31|31|1|1|1|37830|30
201906|AE785|1|31|37|1|1|1|96900|30
201906|AE785|2|21|36|2|2|2|133590|90
201906|AE785|2|31|22|1|1|1|76500|60
201906|AE785|2|31|31|1|1|1|71940|30
201906|AE785|2|31|36|1|1|1|57090|30
201906|AF|1|11|11|17|17|17|2604527|1568
201906|AF|1|11|21|26|26|26|1839903|1229
201906|AF|1|11|22|3|3|3|331950|206
201906|AF|1|11|23|10|10|10|1461650|974
201906|AF|1|11|24|9|9|9|928624|411
201906|AF|1|11|25|68|68|68|9023992|3716
201906|AF|1|11|26|12|12|12|1088369|752
201906|AF|1|11|31|100|100|100|10188933|5638
201906|AF|1|11|32|4|4|4|94050|75
201906|AF|1|11|33|50|50|50|3324816|2094
201906|AF|1|11|34|8|8|8|817680|464
201906|AF|1|11|35|7|7|7|610930|375
201906|AF|1|11|36|53|53|53|3443571|1987
201906|AF|1|11|37|32|32|32|2174784|1190
201906|AF|1|11|38|12|12|12|1924011|982
201906|AF|1|11|39|9|9|9|948597|561
201906|AF|1|21|11|2|2|2|195960|120
201906|AF|1|21|22|31|31|31|922421|875
201906|AF|1|21|23|42|42|42|2041712|1225
201906|AF|1|21|24|4|4|4|330920|206
201906|AF|1|21|26|1|1|1|39091|31
201906|AF|1|21|31|30|30|30|1304782|872
201906|AF|1|21|33|4|4|4|260550|150
201906|AF|1|21|34|2|2|2|35700|28
201906|AF|1|21|35|18|18|18|700932|426
201906|AF|1|21|36|19|19|19|1105294|690
201906|AF|1|21|37|5|5|5|289857|148
201906|AF|1|21|38|6|6|6|458719|283
201906|AF|1|28|11|1|1|1|75330|31
201906|AF|1|28|21|5|5|5|179322|118
201906|AF|1|28|22|2|2|2|44205|35
201906|AF|1|28|23|9|9|9|476143|278
201906|AF|1|28|25|3|3|3|152908|70
201906|AF|1|28|31|20|20|20|1180377|636
201906|AF|1|28|33|1|1|1|71940|30
201906|AF|1|28|34|6|6|6|215102|128
201906|AF|1|28|35|41|41|41|1447310|1198
201906|AF|1|28|36|2|2|2|39525|31
201906|AF|1|28|37|28|28|28|1447318|959
201906|AF|1|28|38|10|10|10|448751|295
201906|AF|1|31|11|12|12|12|734182|364
201906|AF|1|31|21|9|9|9|746335|445
201906|AF|1|31|22|9|9|9|664250|350
201906|AF|1|31|23|97|97|97|4410971|2786
201906|AF|1|31|24|22|22|22|1279706|678
201906|AF|1|31|25|30|30|30|1181263|729
201906|AF|1|31|26|2|2|2|79040|65
201906|AF|1|31|31|84|84|84|4694744|2694
201906|AF|1|31|33|2|2|2|88270|70
