RV_YM|DW_MSICK_CD|SEX_TP_CD|CL_CD|SIDO|JID_cnt|HID_cnt|YID_cnt|AMT_sum|TOT_USE_QTY_OR_EXEC_FQ_sum
202005|AB353|2|31|34|1|1|1|7140|15
202005|AC169|2|31|31|1|1|1|25350|30
202005|AC182|1|11|37|1|1|1|14148|18
202005|AC20|1|11|31|1|1|1|12120|15
202005|AC23|2|11|23|2|2|2|6624|9
202005|AC443|2|31|31|1|1|1|12675|15
202005|AC449|2|31|31|1|1|1|12675|15
202005|AC509|2|31|31|1|1|1|25350|30
202005|AC61|1|31|31|2|2|2|77740|92
202005|AC649|1|31|31|1|1|1|12675|15
202005|AC670|1|11|31|2|2|2|1818|3
202005|AD329|2|11|38|1|1|1|48480|60
202005|AD329|2|21|38|1|1|1|25350|30
202005|AD509|2|21|35|2|2|2|12390|21
202005|AE|2|11|23|1|1|1|7728|10.5
202005|AE039|2|21|35|1|1|1|15708|28
202005|AE114|2|11|37|1|1|1|42380|52
202005|AE114|2|21|35|1|1|1|33660|60
202005|AE115|2|21|35|1|1|1|7854|14
202005|AE117|1|11|22|1|1|1|19392|24
202005|AE118|2|21|38|1|1|1|50700|60
202005|AE119|1|11|24|2|2|2|17199|21
202005|AE119|2|11|37|1|1|1|5656|7
202005|AE119|2|21|32|1|1|1|11940|15
202005|AE119|2|21|35|2|2|2|20757|37
202005|AE119|2|31|31|2|2|2|46480|56
202005|AE138|1|11|24|1|1|1|11410|14
202005|AE149|2|31|31|1|1|1|45864|56
202005|AE782|2|31|31|1|1|1|11620|14
202005|AE782|2|31|34|1|1|1|7140|15
202005|AE785|1|21|35|1|1|1|3927|7
202005|AE785|2|21|36|1|1|1|24450|30
202005|AE870|1|11|36|1|1|1|482|2
202005|AE871|2|11|11|1|1|1|6008|8
202005|AE878|2|11|35|5|5|5|26087|46.5
202005|AF|1|11|21|3|3|3|153930|210
202005|AF|1|11|31|2|2|2|53910|90
202005|AF|1|11|33|1|1|1|28560|60
202005|AF|1|11|34|3|3|3|221940|270
202005|AF|1|11|38|5|5|5|336128|416
202005|AF|1|11|39|1|1|1|95880|120
202005|AF|1|21|11|2|2|2|5660|20
202005|AF|1|21|22|6|6|6|189732|293
202005|AF|1|21|26|2|2|2|48246|86
202005|AF|1|21|31|2|2|2|45864|56
202005|AF|1|21|32|7|7|7|370618|554
202005|AF|1|21|35|2|2|2|23562|42
202005|AF|1|21|36|10|10|10|322121|395
202005|AF|1|21|38|11|11|11|512915|607
202005|AF|1|28|31|5|5|5|105650|160
202005|AF|1|31|11|5|5|5|234390|285
202005|AF|1|31|22|3|3|3|80445|105
202005|AF|1|31|23|2|2|2|98640|120
202005|AF|1|31|31|49|49|49|1235653|1487.5
202005|AF|1|31|33|2|2|2|62700|75
202005|AF|1|31|34|10|10|10|137016|246
202005|AF|1|31|35|7|7|7|76087|155
202005|AF|2|11|21|11|11|11|884935|1195
202005|AF|2|11|31|17|17|17|655559|825
202005|AF|2|11|34|9|9|9|838440|1020
202005|AF|2|11|38|21|21|21|1753872|2169
202005|AF|2|11|39|4|4|4|469036|668
202005|AF|2|21|11|2|2|2|106050|150
202005|AF|2|21|22|11|11|11|181056|339
202005|AF|2|21|23|2|2|2|94738|126
202005|AF|2|21|26|3|3|3|63954|114
202005|AF|2|21|31|19|19|19|738576|1178
202005|AF|2|21|32|14|14|14|438102|598
202005|AF|2|21|35|15|15|15|286308|468
202005|AF|2|21|36|33|33|33|1043232|1302.5
202005|AF|2|21|38|34|34|34|1585261|1878.5
202005|AF|2|28|21|7|7|7|233880|288
202005|AF|2|28|22|6|6|6|245070|300
202005|AF|2|28|31|7|7|7|362528|656
202005|AF|2|31|11|3|3|3|54516|66
202005|AF|2|31|21|1|1|1|4578|7
202005|AF|2|31|22|28|28|28|709583|892.5
202005|AF|2|31|23|1|1|1|24240|30
202005|AF|2|31|25|2|2|2|73890|90
202005|AF|2|31|31|222|222|222|5357704|6488.75
202005|AF|2|31|32|2|2|2|66860|80
202005|AF|2|31|33|4|4|4|120672|162
202005|AF|2|31|34|42|42|42|618138|1190.5
202005|AF|2|31|35|23|23|23|211310|414
202005|AF|2|31|38|1|1|1|19620|30
202005|AG|1|11|34|1|1|1|49320|60
202005|AG|1|31|34|1|1|1|6664|14
202005|AG|2|11|34|1|1|1|73980|90
202005|AG|2|11|38|1|1|1|22624|28
202005|AG|2|31|31|2|2|2|35915|43
202005|AG|2|31|34|3|3|3|28560|60
202005|AG20|1|11|11|2|2|2|28188|36
202005|AG20|1|11|21|1|1|1|65970|90
202005|AG20|1|31|31|2|2|2|72510|90
