RV_YM|DW_MSICK_CD|SEX_TP_CD|CL_CD|SIDO|JID_cnt|HID_cnt|YID_cnt|AMT_sum|TOT_USE_QTY_OR_EXEC_FQ_sum
201905|AA099|1|21|23|2|2|2|25488|36
201905|AA099|1|31|31|1|1|1|5915|7
201905|AB029|2|11|31|1|1|1|4542|6
201905|AC189|2|31|31|1|1|1|24840|30
201905|AC220|1|11|31|2|2|2|334|2
201905|AC349|1|11|21|1|1|1|8547|10.5
201905|AC349|1|31|31|1|1|1|24840|30
201905|AC61|1|31|31|1|1|1|24840|30
201905|AC649|1|31|31|1|1|1|24840|30
201905|AC73|1|31|31|1|1|1|30636|37
201905|AD509|2|11|11|14|14|14|3348|13.5
201905|AD509|2|31|34|1|1|1|14340|30
201905|AE115|1|21|31|1|1|1|22932|28
201905|AE116|2|21|35|1|1|1|1628|2
201905|AE118|1|21|35|1|1|1|22372|28
201905|AE119|1|31|31|2|2|2|70980|84
201905|AE119|1|31|34|1|1|1|45864|56
201905|AE119|2|21|34|1|1|1|99360|120
201905|AE119|2|28|31|1|1|1|42392|56
201905|AE119|2|31|31|5|5|5|168578|199.5
201905|AE119|2|31|34|1|1|1|5019|10.5
201905|AE507|2|31|31|1|1|1|49680|60
201905|AE782|2|31|31|1|1|1|11830|14
201905|AE785|1|31|31|1|1|1|146520|180
201905|AE871|2|11|35|1|1|1|4504|8
201905|AF|1|11|11|1|1|1|26950|35
201905|AF|1|11|21|2|2|2|226200|300
201905|AF|1|11|24|1|1|1|34260|60
201905|AF|1|11|31|6|6|6|466908|573
201905|AF|1|11|33|3|3|3|54970|115
201905|AF|1|11|34|3|3|3|171300|300
201905|AF|1|11|37|7|7|7|314912|416
201905|AF|1|11|38|9|9|9|600790|685
201905|AF|1|11|39|1|1|1|63588|84
201905|AF|1|21|11|7|7|7|129540|174
201905|AF|1|21|22|5|5|5|163120|266
201905|AF|1|21|23|1|1|1|26495|35
201905|AF|1|21|26|2|2|2|63952|112
201905|AF|1|21|31|13|13|13|321388|504
201905|AF|1|21|32|2|2|2|157020|240
201905|AF|1|21|35|2|2|2|26369|35
201905|AF|1|21|36|3|3|3|104480|148
201905|AF|1|21|38|4|4|4|128440|152
201905|AF|1|28|31|5|5|5|224868|294
201905|AF|1|31|11|1|1|1|97680|120
201905|AF|1|31|22|2|2|2|57990|75
201905|AF|1|31|25|2|2|2|29302|38.5
201905|AF|1|31|31|20|20|20|730045|897
201905|AF|1|31|34|5|5|5|56165|117.5
201905|AF|1|31|35|9|9|9|87649|153.5
201905|AF|1|31|37|1|1|1|98280|120
201905|AF|2|11|21|18|18|18|1383144|1841
201905|AF|2|11|24|7|7|7|360872|632
201905|AF|2|11|31|22|22|22|1593299|1878.5
