RV_YM	DW_MSICK_CD	SEX_TP_CD	CL_CD	SIDO	GNL_NM_CD	JID_cnt	HID_cnt	YID_cnt	AMT_sum	TOT_USE_QTY_OR_EXEC_FQ_sum
202005	AA	2	11	25	148602ATD	1	1	1	2148	2
202005	AA090	2	11	22	148602ATD	2	2	2	3222	3
202005	AA099	2	11	31	148602ATD	1	1	1	9168	8
202005	AB022	1	11	37	148602ATD	1	1	1	1066	1
202005	AC221	2	11	11	148602ATD	1	1	1	23958	22
202005	AC349	1	11	31	148602ATD	1	1	1	27780	30
202005	AC509	2	11	31	148602ATD	1	1	1	1468	2
202005	AC61	1	11	11	224507CPC	1	1	1	10941	7
202005	AD110	1	11	36	148602ATD	1	1	1	1023	3
202005	AE039	1	21	38	224507CPC	1	1	1	47580	30
202005	AE119	2	21	32	224507CPC	1	1	1	38310	30
202005	AE119	2	31	34	224507CPC	1	1	1	77640	60
202005	AE149	1	31	31	148602ATD	1	1	1	34020	30
202005	AF	1	11	31	148602ATD	1	1	1	34380	30
202005	AF	1	11	38	148602ATD	2	2	2	109300	100
202005	AF	1	11	39	148602ATD	2	2	2	96264	84
202005	AF	1	21	31	224507CPC	1	1	1	93780	60
202005	AF	1	21	38	224507CPC	1	1	1	47580	30
202005	AF	1	28	31	148602ATD	1	1	1	36750	30
202005	AF	1	31	31	224507CPC	2	2	2	42945	30
202005	AF	1	31	34	148602ATD	1	1	1	34380	30
202005	AF	1	31	37	148602ATD	1	1	1	36750	30
202005	AF	2	11	31	148602ATD	2	2	2	166380	150
202005	AF	2	11	33	148602ATD	1	1	1	73500	60
202005	AF	2	11	38	148602ATD	5	5	5	299482	274
202005	AF	2	11	38	224507CPC	3	3	3	261360	165
202005	AF	2	11	39	148602ATD	8	8	8	297436	265
202005	AF	2	31	11	148602ATD	3	3	3	103140	90
202005	AF	2	31	31	148602ATD	6	6	6	229200	200
202005	AF	2	31	31	224507CPC	7	7	7	191896	144
202005	AF	2	31	34	224507CPC	3	3	3	75343	59
202005	AG	1	11	21	148602ATD	1	1	1	38255	35
202005	AG	2	31	31	148602ATD	1	1	1	34020	30
202005	AG20	2	11	11	148602ATD	1	1	1	2292	2
202005	AG20	2	31	31	224507CPC	1	1	1	19155	15
202005	AG301	2	11	31	148602ATD	1	1	1	34020	30
202005	AG309	1	31	31	148602ATD	1	1	1	204120	180
202005	AG309	2	11	31	148602ATD	2	2	2	7408	8
202005	AG450	2	11	38	148602ATD	1	1	1	54650	50
202005	AG459	2	11	21	148602ATD	1	1	1	38255	35
202005	AG912	2	11	11	224507CPC	1	1	1	21090	15
